avg_rating,backup_location,btih,call_number,collection,contributor,coverage,creator,date,description,downloads,external-identifier,foldoutcount,format,genre,identifier,imagecount,indexflag,item_size,language,licenseurl,mediatype,members,month,name,noindex,num_reviews,oai_updatedate,publicdate,publisher,related-external-id,reviewdate,rights,scanningcentre,source,stripped_tags,subject,title,type,volume,week,year
,,c4c9bc841daa69382a2a579b089bec98d667b0de,,"native-linux-games-collection,additional_collections,fav-braedons_rants_amp_more,fav-jpsavage85,fav-munenushi",,,"Eidos Montreal,Feral Interactive",2016-08-23T00:00:00Z,"The year is 2029, and mechanically augmented humans have now been deemed outcasts, living a life of complete and total segregation from the rest of society. Now an experienced covert operative, Adam Jensen is forced to operate in a world that has grown to despise his kind. Armed with a new arsenal of state-of-the-art weapons and augmentations, he must choose the right approach, along with who to trust, in order to unravel a vast worldwide conspiracy. You can play on Linux Games on Linux for FREE!",990,,,"7z,Archive BitTorrent,Item Tile,JPEG,JPEG Thumb,Metadata","Action,Role-playing,Sci-fi",deus-ex-mankind-divided-linux-razor-1911,34.41,"index,nonoindex",36944034308,eng,,software,,85,,,,"2024-03-01T02:15:03Z,2025-05-07T07:49:17Z",2024-03-01T02:15:03Z,,,,,,,"div class=""description"",strong","Razor1911,Uploaded by Y@Ldysse,LAYC (Linux Games Y@Ldysse Collection),GNU/Linux Games,Linux Games,Deus Ex: Mankind Divided","Deus Ex: Mankind Divided [Linux, Razor1911]",,,13,2016
,,a18cb51524ca8c791ee0b00754c62d97859886bb,,"native-linux-games-collection,additional_collections,fav-captain-squid,fav-genric_elazegui,fav-imaginarydaemon,fav-jpsavage85,fav-linius23,fav-luca_espinosa,fav-quietbeast",,,Double Fine Productions,2021-08-25T00:00:00Z,"Razputin “Raz” Aquato, trained acrobat and powerful young psychic, has realized his lifelong dream of joining the international psychic espionage organization known as the Psychonauts! But these psychic super spies are in trouble. Their leader hasn't been the same since he was rescued from a kidnapping, and what's worse, there's a mole hiding in headquarters. Combining quirky missions and mysterious conspiracies, Psychonauts 2 is a platform-adventure game with cinematic style and tons of customizable psychic powers. Psychonauts 2 serves up danger, excitement and laughs in equal measure as players guide Raz on a journey through the minds of friends and foes on a quest to defeat a murderous psychic villain.   Experience an imaginative, cinematic story that mixes humor and intrigue, brought to you by legendary game designer Tim Schafer ( Grim Fandango , Brütal Legend , Broken Age ). Explore unique environments using Raz’s ability to dive into people’s brains to battle their inner demons, unlock hidden memories, and resolve their emotional baggage. Leap acrobatically through the air, traversing tightropes and trapezes in a varied, challenging, and joyful platforming experience. Wield a powerful array of psychic powers to blast, burn and levitate things, or even slow down time itself to solve environmental puzzles and battle strange enemies. You can play on Linux! Games on Linux for FREE!",1119,,,"Archive BitTorrent,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown","Action,Adventure,Comedy",psychonauts-2-v-1097251-linux-gog-v-56084-gui,29.52,"index,nonoindex",31697309187,eng,,software,,107,,,,"2024-01-22T23:20:58Z,2024-01-31T16:53:57Z",2024-01-22T23:20:58Z,,,,,,,"a href=""https://www.gog.com/game/grim_fandango_remastered"" rel=""nofollow"",a href=""https://www.gog.com/game/brutal_legend"" rel=""nofollow"",a href=""https://www.gog.com/game/broken_age"" rel=""nofollow"",strong","Linux Games,GOG Games,GNU/Linux Games,DRM-Free Games,LAYC (Linux Games Y@Ldysse Collection),Uploaded by Y@Ldysse,Psychonauts 2","Psychonauts 2 (v1097251) [Linux, GOG, v56084, GUI]",,,28,2021
,,9a1647740c0ba428f635adfb883aed54a229b064,,"native-linux-games-collection,additional_collections",,,Avalanche Studios,2015-10-02T00:00:00Z,"This Game is brought to you by LinuxRuleZ! Become Mad Max, the lone warrior in a savage post-apocalyptic world where cars are the key to survival. In this action-packed, open world, third person action game, you must fight to stay alive in The Wasteland, using brutal on-ground and vehicular against vicious gangs of bandits. A reluctant hero with an instinct for survival, Max wants nothing more than to leave the madness behind and find solace in the storied “Plains of Silence.” Players are challenged with treacherous missions as they scavenge the dangerous landscape for supplies to build the ultimate combat vehicle. You can play on Linux Games on Linux for FREE!",0,,,"Archive BitTorrent,Item Tile,JPEG Thumb,Metadata,PNG,TAR,Unknown","Action,Adventure",mad-max-linux-steam-rip-linuxrulez,29.33,"index,nonoindex",31493927442,eng,,software,,0,,,,"2025-05-13T04:36:57Z,2025-05-16T07:02:44Z",2025-05-13T04:36:57Z,,,,,,,"strong,p style=""text-align:center;"",img src=""https://archive.org/download/mad-max-linux-steam-rip-linuxrulez/screenshot-0_Mad_Max.webp"" style=""width:620px;"" alt=""screenshot-0_Mad_Max.webp"" /,img src=""https://archive.org/download/mad-max-linux-steam-rip-linuxrulez/screenshot-1_Mad_Max.webp"" style=""width:620px;"" alt=""screenshot-1_Mad_Max.webp"" /,img src=""https://archive.org/download/mad-max-linux-steam-rip-linuxrulez/screenshot-2_Mad_Max.webp"" style=""width:620px;"" alt=""screenshot-2_Mad_Max.webp"" /","Linux Games,Steam-Rip,Goldberg Steam Emulator,GNU/Linux Games,LAYC (Linux Games Y@Ldysse Collection),Uploaded by Y@Ldysse,LinuxRuleZ!,Mad Max","Mad Max (v Patch 4) + 9 DLC (Improved) [Linux, Steam-Rip, LinuxRuleZ!, Goldberg Steam Emulator]",,,0,2015
,,970b9102a991c2dbd96173dbebe8fb5698aa95e6,,"native-linux-games-collection,additional_collections,fav-braedons_rants_amp_more,fav-heider_28,fav-masterbi,fav-michael_quinones441,fav-munenushi,fav-quietbeast",,,"Feral Interactive,Eidos-Montréal,Nixxes,Crystal Dynamics",2018-09-14T00:00:00Z,"This Game is brought to you by LinuxRuleZ! In Shadow of the Tomb Raider Definitive Edition experience the final chapter of Lara’s origin as she is forged into the Tomb Raider she is destined to be. Combining the base game, all seven DLC challenge tombs, as well as all downloadable weapons, outfits, and skills, Shadow of the Tomb Raider Definitive Edition is the ultimate way to experience Lara’s defining moment. Survive and Thrive In the Deadliest Place on Earth: Master an unforgiving jungle setting in order to survive. Explore underwater environments filled with crevasses and deep tunnel systems. Become One With the Jungle: Outgunned and outnumbered, Lara must use the jungle to her advantage. Strike suddenly and disappear like a jaguar, use mud as camouflage, and instill fear in enemies to sow chaos. Discover Dark and Brutal Tombs: Tombs are more terrifying than ever before, requiring advanced traversal techniques to reach them, and once inside they are filled with deadly puzzles. Uncover Living History: Discover a hidden city and explore the biggest hub space ever found in a Tomb Raider game. You can play on Linux Games on Linux for FREE!",1601,,,"Animated GIF,Archive BitTorrent,ISO Image,Item Image,JPEG Thumb,Metadata,Unknown","Action,Adventure",shadow-of-the-tomb-raider-v-2.0-build-296.0-linux-steam-rip-linux-rule-z-goldberg-steam-emulator,28.59,"index,nonoindex",30696314549,eng,,software,,125,,,,"2024-04-25T00:16:30Z,2025-05-07T07:37:52Z",2024-04-25T00:16:30Z,,,,,,,"img src=""https://archive.org/download/shadow-of-the-tomb-raider-v-2.0-build-296.0-linux-steam-rip-linux-rule-z-goldberg-steam-emulator/Shadow_DE_616X_Agnostic.jpg"" alt=""Shadow_DE_616X_Agnostic.jpg?t=1709834464"" /,strong,img src=""https://archive.org/download/shadow-of-the-tomb-raider-v-2.0-build-296.0-linux-steam-rip-linux-rule-z-goldberg-steam-emulator/SOTTR-Combat1-616x213_-_Copy.gif"" alt=""SOTTR-Combat1-616x213_-_Copy.jpg?t=1709834464"" /","Linux Games,Steam-Rip,Goldberg Steam Emulator,GNU/Linux Games,LAYC (Linux Games Y@Ldysse Collection),Uploaded by Y@Ldysse,LinuxRuleZ!,Tomb Raider (Series),Shadow of the Tomb Raider","Shadow of the Tomb Raider (v2.0 Build 296.0) [Linux, Steam-Rip, LinuxRuleZ!, Goldberg Steam Emulator]",,,18,2018
,,d9317794ddeae56a558cb9b6dfa73d9fc538d43f,,"native-linux-games-collection,additional_collections,fav-efendiswt,fav-zc456,fav-zuulmfer",,,Urban Games,2019-12-11T00:00:00Z,"The classic transport simulation genre has a new gold standard with Transport Fever 2. Discover a whole new world by navigating transport routes through land, water and air. May progress and prosperity find their way! Provide the world with the transport infrastructure it needs and make a fortune with custom-made transport services. Watch your trains run on rails, your buses and trucks thunder along roads, your ships power through the water, and your planes soar through the skies. Carry people on their way to work or play, and be the reason cities grow and thrive. Deliver raw materials and goods to drive the economy. Experience the greatest logistical challenges from 1850 to the present day, and build a transport empire unrivaled anywhere else on the globe! Free play offers a huge range of creative possibilities, while campaign mode re-writes transport history across three continents. Transport Fever 2 offers a choice of over 200 vehicles from Europe, America and Asia, modelled in extreme detail; and with the in-game map editor, you can re-create landscapes from three different climate zones. Finally, the realistic transport and economy simulator, along with comprehensive modding support, round off the gameplay experience. Open Up the World A huge game world is waiting for your railroads, road vehicles, aircraft and ships. Intuitive interactive rail construction tools and a modular construction system for stations make it easy to build and expand your transport empire; and thanks to a wide range of configuration options, every free play game provides a new challenge, where completely different strategies can lead to success. Write Transport History Three historic campaigns set in different time periods and located on three separate continents will challenge you with different objectives …only transport magnates will manage to complete all the missions! Voiceovers and cutscenes enrich the story and contribute to a thrilling gameplay experience, and even the free play mode will challenge you with different achievements to unlock. Optimize the Infrastructure It is vital to adapt your company to the needs of the economy and cities: bridges, tunnels, switches, rail signals, one-way streets, light signals, and bus lanes are just some of the possibilities you can use to optimize the transport infrastructure. Even train stations and airports can be expanded with modules in order to meet different requirements; and various data layers help you visualize traffic volumes and emissions, and provide information for further improvements. Free your Creativity Thanks to the detailed game world, you can develop your very own virtual railroad landscape: the map editor provides the possibility to create countless different worlds; the terrain in the game can be adjusted and painted. Game Features Free play with countless configuration possibilities Three campaigns across three continents with over 20 hours of playing time Editors for creating maps and editing saved games Three landscape types: moderate, dry, and tropical Realistically modelled vehicles from Europe, America and Asia A total of over 200 vehicles: trains, buses, streetcars, trucks, aircraft and ships Modular train stations, bus and truck stations, airports and harbors Realistic transport simulation including one-way streets and light signals Editable and paintable terrain with realistic effects Intuitive construction tools for building railroads and more Display important data such as traffic and emissions, on separate layers Dynamic economy and city simulation More than ten economic chains with associated factories and goods Cities with countless residential, commercial and industrial buildings Detailed game world with physics-based lighting Individually simulated land animals, birds and fish Over 50 challenging achievements in free play mode You can play on Linux Games on Linux for FREE!",789,,,"7z,Archive BitTorrent,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown","Modern,Simulation,Strategy",transport-fever-2-2-dlc-v35905.0-linux-gog-v76521,27.96,"index,nonoindex",30027009599,eng,,software,,125,,,,"2024-10-05T06:40:17Z,2024-10-06T22:09:07Z",2024-10-05T06:40:17Z,,,,,,,"p style=""text-align:center;"",img src=""https://archive.org/download/transport-fever-2-2-dlc-v35905.0-linux-gog-v76521/screenshot-0_Transport_Fever_2.webp"" style=""width:620px;"" alt=""screenshot-0_Transport_Fever_2.webp"" /,img src=""//web.archive.org/web/2im_/https://items.gog.com/transport_fever_2/city_noise.jpg"" alt=""city_noise.jpg"" /,img src=""https://archive.org/download/transport-fever-2-2-dlc-v35905.0-linux-gog-v76521/screenshot-1_Transport_Fever_2.webp"" style=""width:620px;"" alt=""screenshot-1_Transport_Fever_2.webp"" /,img src=""//web.archive.org/web/2im_/https://items.gog.com/transport_fever_2/cargo_yard.jpg"" alt=""cargo_yard.jpg"" /,ul class=""bb_ul"",img src=""https://archive.org/download/transport-fever-2-2-dlc-v35905.0-linux-gog-v76521/screenshot-2_Transport_Fever_2.webp"" style=""width:620px;"" alt=""screenshot-2_Transport_Fever_2.webp"" /,strong","Linux Games,GOG Games,GNU/Linux Games,DRM-Free Games,LAYC (Linux Games Y@Ldysse Collection),Uploaded by Y@Ldysse,Transport Fever 2","Transport Fever 2 (v35905.0) [Linux, GOG, v76521]",,,33,2019
4,,71d4dc91f23802ba3ec667d5ccf358b3bc7aba5e,,"native-linux-games-collection,additional_collections,fav-bodiebodie,fav-cassio_luis_riboli,fav-gatto_rangel,fav-heider_28,fav-iiiimxu,fav-keegan_blessing_dube,fav-mateusz_maciej_dawid_marczuk,fav-neamtu23,fav-solars2015,fav-technophilic-8d",,,SCS Software,2012-10-18T00:00:00Z,"This Game is brought to you by LinuxRuleZ! Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore from the UK, Belgium, Germany, Italy, the Netherlands, Poland, and many more, your endurance, skill and speed will all be pushed to their limits. If you’ve got what it takes to be part of an elite trucking force, get behind the wheel and prove it! Key Features: Transport a vast variety of cargo across more than 60 European cities. Run your own business which continues to grow even as you complete your freight deliveries. Build your own fleet of trucks, buy garages, hire drivers, manage your company for maximum profits. A varied amount of truck tuning that range from performance to cosmetic changes. Customize your vehicles with optional lights, bars, horns, beacons, smoke exhausts, and more. Thousands of miles of real road networks with hundreds of famous landmarks and structures. You can play on Linux! Games on Linux for FREE!",19620,,,"Archive BitTorrent,Item Image,JPEG Thumb,Metadata,TAR,Unknown","Indie,Simulation",euro-truck-simulator-2-v-1.49.2.0s-linux-linux-rule-z,27.85,"index,nonoindex",29902831365,eng,,software,,898,,,4,"2024-03-03T00:33:48Z,2025-04-13T16:57:43Z,2025-02-05T17:39:14Z",2024-03-03T00:33:48Z,,,2025-02-05T17:39:14Z,,,,"img src=""//web.archive.org/web/2im_/https://cdn.akamai.steamstatic.com/steam/apps/227300/extras/ets2_banner.jpg?t=1707210696"" alt=""ets2_banner.jpg?t=1707210696"" /,p style=""text-align:center;"",img src=""https://archive.org/download/euro-truck-simulator-2-v-1.49.2.0s-linux-linux-rule-z/screenshot-0_Euro_Truck_Simulator_2.jpg"" style=""width:620px;"" alt=""screenshot-0_Euro_Truck_Simulator_2.jpg"" /,img src=""https://archive.org/download/euro-truck-simulator-2-v-1.49.2.0s-linux-linux-rule-z/screenshot-1_Euro_Truck_Simulator_2.jpg"" style=""width:620px;"" alt=""screenshot-1_Euro_Truck_Simulator_2.jpg"" /,h2 class=""bb_tag"",ul class=""bb_ul"",img src=""https://archive.org/download/euro-truck-simulator-2-v-1.49.2.0s-linux-linux-rule-z/screenshot-2_Euro_Truck_Simulator_2.jpg"" style=""width:620px;"" alt=""screenshot-2_Euro_Truck_Simulator_2.jpg"" /,strong","Linux Games,Steam-Rip,LinuxRuleZ!,GNU/Linux Games,LAYC (Linux Games Y@Ldysse Collection),Uploaded by Y@Ldysse,Euro Truck Simulator 2,Goldberg Steam Emulator","Euro Truck Simulator 2 + All DLC (v1.54.1.0s) [Linux, Steam-Rip, LinuxRuleZ!, Goldberg Steam Emulator]",,,128,2012
,,808fc5363dd81f81682b2611eab578115a666d1a,,"native-linux-games-collection,additional_collections,fav-cego_bom_de_mira,fav-jpsavage85",,,Obsidian Entertainment,2018-05-15T00:00:00Z,"Pursue a rogue god over land and sea in the sequel to the multi-award-winning RPG Pillars of Eternity. Captain your ship on a dangerous voyage of discovery across the vast unexplored archipelago region of the Deadfire. Bend the world to your will, as you explore the depths of infinite possibilities, including detailed character customization, total freedom of exploration, and more meaningful choices at every turn. Immerse yourself in a deeper single player RPG game experience - enriched with cutting edge technology and features, Deadfire builds on the foundation of classic D&D gameplay with vastly improved graphics, deeper game mechanics and a whole new hand-crafted adventure where choices truly matter. Discover the new region of the Deadfire – plot your own course by ship and explore the rich and exotic islands of the archipelago region, discovering new places interacting with their inhabitants and engaging in a variety of quests at every port. Build your party and customize your companions – choose from 7 different companions to join you on your quest and assign multiple classes and deeper abilities for each. Witness their personal relationships and interactions unfold with the addition of the new companion system. Captain your ship across the seas – as your stronghold on the seas, your ship is much more than simply a vessel for exploring. Upgrade your ship and crew and choose what skills you improve in order to survive dangerous encounters along the way. You can play on Linux! Games on Linux for FREE!",1274,,,"7z,Archive BitTorrent,Item Tile,JPEG,JPEG Thumb,Log,Metadata","Adventure,Fantasy,Role-playing",pillars_of_eternity_ii_deadfire_v5_0_0_0040_29222_linux_gog,27.4,"index,nonoindex",29418316870,eng,,software,,155,,,,"2024-02-27T17:02:25Z,2024-03-04T00:28:55Z",2024-02-27T17:02:25Z,,,,,,,"img src=""//web.archive.org/web/2im_/https://items.gog.com/pillars_of_eternity_2/gifs/deadfire_combat_ravine.gif"" style=""margin:15px 0px 5px 0px;width:580px;"" alt=""deadfire_combat_ravine.gif"" /,ul class=""bb_ul"",li class=""description__cool-point"",img src=""//web.archive.org/web/2im_/https://items.gog.com/pillars_of_eternity_2/gifs/deadfire_ship.gif"" style=""margin:15px 0px 5px 0px;width:580px;"" alt=""deadfire_ship.gif"" /,strong","Linux Games,GOG Games,GNU/Linux Games,DRM-Free Games,LAYC (Linux Games Y@Ldysse Collection),Uploaded by Y@Ldysse,Pillars of Eternity (Series),Pillars of Eternity II: Deadfire","Pillars of Eternity II: Deadfire + DLC, Bonus (v5.0.0.0040) [Linux, GOG]",,,24,2018
5,,f1ec7b17f06e517873dbd12a1e9142417e608f5a,,"native-linux-games-collection,additional_collections,fav-altgaming,fav-khrwani,fav-quietbeast,fav-rafael_ramos304,fav-teste_rsrsrs4332",,,xRedGames,2023-08-31T00:00:00Z,"In Helping the Hotties , you are a psychology college student, ready to finally spend the summer with your super hot girlfriend . But, instead of spending the summer with her, you receive an unexpected phone call... The next morning, you're on a bus going to work at a behavioral rehabilitation camp . And as you’ll soon learn, this year will be different… Your goal is to lead a group of four beautiful attendees through their journey of self-improvement and reintegration into society while trying to remain as professional as possible... and maintain a long-distance relationship. It might prove more challenging than you expect. Every girl has a different personality, her whims and wants and it’s up to you to keep them satisfied. Are you up for the task while under the watchful gaze of the head camp counsellor, Eve? She has her eye on you. And she’s not the only one! Plenty of fun as you get to meet the beautiful camp attendees, who will surprise you at every turn  Full English VO for each girl Exquisite images  Provocative and seductive animations  Alluring music and sound effects Hidden collectibles  Missions and Achievements And plenty of room for your imagination to blossom You can play on Linux Games on Linux for FREE!",4373,,,"Archive BitTorrent,Item Tile,JPEG,JPEG Thumb,Metadata,TAR,Unknown","Narrative,Role-playing,Simulation",helping_the_hotties_1_0_4_06_71655_gog_linux,25.44,"index,nonoindex",27318856731,eng,,software,,530,,,2,"2024-05-13T11:23:30Z,2025-01-19T07:37:23Z,2024-05-15T20:28:23Z",2024-05-13T11:23:30Z,,,2024-05-15T20:28:23Z,,,,"p style=""text-align:center;"",img src=""//web.archive.org/web/2im_/https://items.gog.com/helping_the_hotties_complete_collection/story-419db.png"" alt=""story-419db.png"" /,strong,img src=""https://archive.org/download/helping_the_hotties_1_0_4_06_71655_gog_linux/screenshot-0_Helping_the_Hotties.jpg"" style=""width:620px;"" alt=""screenshot-0_Helping_the_Hotties.jpg"" /,img src=""https://archive.org/download/helping_the_hotties_1_0_4_06_71655_gog_linux/screenshot-1_Helping_the_Hotties.jpg"" style=""width:620px;"" alt=""screenshot-1_Helping_the_Hotties.jpg"" /,img src=""//web.archive.org/web/2im_/https://items.gog.com/helping_the_hotties_complete_collection/voiceover-f0b6a.gif"" alt=""voiceover-f0b6a.gif"" /,img src=""//web.archive.org/web/2im_/https://items.gog.com/helping_the_hotties_complete_collection/choices_clean-a12fb.gif"" alt=""choices_clean-a12fb.gif"" /,img src=""//web.archive.org/web/2im_/https://items.gog.com/helping_the_hotties_complete_collection/panties-47843.gif"" alt=""panties-47843.gif"" /,img src=""//web.archive.org/web/2im_/https://items.gog.com/helping_the_hotties_complete_collection/features-de01d.png"" alt=""features-de01d.png"" /,img src=""//web.archive.org/web/2im_/https://items.gog.com/helping_the_hotties_complete_collection/all_girls-61bbc.png"" alt=""all_girls-61bbc.png"" /","Linux Games,GOG Games,GNU/Linux Games,DRM-Free Games,LAYC (Linux Games Y@Ldysse Collection),Uploaded by Y@Ldysse,Helping the Hotties","Helping the Hotties (v1.0.4.10.6) [Linux, GOG, v77966]",,,117,2023
,,807a5ca77a52aed98c7849a21db2591ebaf520ae,,"native-linux-games-collection,additional_collections,fav-captain-squid,fav-cubical,fav-daniel_hudson,fav-eric_lima801,fav-heider_28,fav-k9k,fav-munenushi,fav-nac2m,fav-rafael_ramos304,fav-spunky258,fav-thefatcatalone",,,CD PROJEKT RED,2012-04-17T00:00:00Z,"The second installment in the RPG saga about the Witcher, Geralt of Rivia. A new, modern game engine, responsible both for beautiful visuals and sophisticated game mechanics puts players in the most lively and believable world ever created in an RPG game. A captivating story, dynamic combat system, beautiful graphics, and everything else that made the original Witcher such a great game are now executed in a much more advanced and sophisticated way. The Witcher 2 was acclaimed one of the best RPGs by the biggest worldwide media outlets: - “Redefines expectations for an entire genre” – New York Times - “One of the best role-playing games in years” – IGN – 9/10 - “You can't afford to miss it” – Gametrailers – 9.4/10 - “One of the most memorable and best written fantasy video games you'll ever play” – 1up What's New in the Enhanced Edition: Professional mod tool - REDkit beta: The REDkit is the best way to craft vast, living worlds – shape environments using intuitive tools and adapt them to your needs! Create your own RPG adventures and do it CD Projekt RED style! Additional hours of gameplay: New major adventures set in previously unseen locations, expanding the story and introducing new characters, mysteries and monsters. New Game Introduction and Cinematics: All new animations and cut scenes, including a new, three and a half minute pre-rendered cinematic depicting the assassination of King Demavend of Aedirn. BAFTA Award winner and Academy Award nominee Tomasz Baginski brings this key historical event to life, setting the stage for the story told in The Witcher 2. You can play on Linux Games on Linux for FREE!",10023,,,"7z,Archive BitTorrent,Item Image,JPEG,JPEG Thumb,Metadata,Unknown","Action,Fantasy,Role-playing",the-witcher-2-assassins-of-kings-enhanced-edition_linux_gog_bonus_release_3_20150306204412,24.34,"index,nonoindex",26139027442,eng,,software,,784,,,,"2024-02-02T22:07:18Z,2024-07-04T13:27:23Z",2024-02-02T22:07:18Z,,,,,,,"p style=""text-align:center;"",img src=""https://archive.org/download/the-witcher-2-assassins-of-kings-enhanced-edition_linux_gog_bonus_release_3_20150306204412/screenshot-0_The_Witcher_2.jpg"" style=""width:620px;"" alt=""screenshot-0_The_Witcher_2.jpg"" /,img src=""https://archive.org/download/the-witcher-2-assassins-of-kings-enhanced-edition_linux_gog_bonus_release_3_20150306204412/screenshot-1_The_Witcher_2.jpg"" style=""width:620px;"" alt=""screenshot-1_The_Witcher_2.jpg"" /,ul class=""description__features"",li class=""description__features-point"",img src=""https://archive.org/download/the-witcher-2-assassins-of-kings-enhanced-edition_linux_gog_bonus_release_3_20150306204412/screenshot-2_The_Witcher_2.jpg"" style=""width:620px;"" alt=""screenshot-2_The_Witcher_2.jpg"" /,strong","Linux Games,GOG Games,GNU/Linux Games,DRM-Free Games,LAYC (Linux Games Y@Ldysse Collection),Uploaded by Y@Ldysse,The Witcher 2: Assassins of Kings Enhanced Edition","The Witcher 2: Assassins of Kings Enhanced Edition (vRelease 3 (20150306204412)) [Linux, GOG, v20992, GUI]",,,163,2012
,,f09fb61535f778904f57d390688c9755f4fdf556,,"native-linux-games-collection,additional_collections,fav-gunkygunk,fav-mis_misfo,fav-munenushi,fav-quietbeast,fav-rafael_ramos304",,,Frictional Games,2015-09-22T00:00:00Z,"Enter the world of SOMA and face horrors buried deep beneath the ocean waves. Delve through locked terminals and secret documents to uncover the truth behind the chaos. Seek out the last remaining inhabitants and take part in the events that will ultimately shape the fate of the station. But be careful, danger lurks in every corner: corrupted humans, twisted creatures, insane robots, and even an inscrutable omnipresent A.I. You will need to figure out how to deal with each one of them. Just remember there’s no fighting back, either you outsmart your enemies or you get ready to run. From the creators of the cult classic Amnesia the Dark Descent. Spine-chilling horror that raises questions about identity, consciousness and existence itself. Mixes stealth, exploration and puzzles into a coherent narrative experience. You can play on Linux Games on Linux for FREE!",1949,,,"7z,Archive BitTorrent,Item Tile,JPEG,JPEG Thumb,Metadata","Adventure,FPP,Horror",gog_soma_151_38774_linux,24.06,"index,nonoindex",25831123336,eng,,software,,172,,,,"2024-04-02T17:14:38Z,2024-04-04T20:02:25Z",2024-04-02T17:14:38Z,,,,,,,"ul class=""description__features"",li class=""description__features-point"",strong","Linux Games,GOG Games,GNU/Linux Games,DRM-Free Games,LAYC (Linux Games Y@Ldysse Collection),Uploaded by Y@Ldysse,SOMA","SOMA (v1.61) (Linux, GOG, v50361]",,,36,2015
